timestamp,橄榄迷彩_price,橄榄迷彩_volume,橄榄迷彩_change,橄榄迷彩_sep,灰变迷彩_price,灰变迷彩_volume,灰变迷彩_change,灰变迷彩_sep,迷踪秘境_price,迷踪秘境_volume,迷踪秘境_change,迷踪秘境_sep,钢铁三角洲_price,钢铁三角洲_volume,钢铁三角洲_change,钢铁三角洲_sep,精英之作_price,精英之作_volume,精英之作_change,精英之作_sep
2025/6/18 10:00,¥3.37,1367,0.000 ,,¥7.20,285,-2.307 ,,¥7.56,755,-0.132 ,,¥20.41,615,0.000 ,,¥42.09,1070,-0.024 ,
2025/6/18 22:00,¥3.29,1370,3.135 ,,¥7.30,292,0.000 ,,¥7.57,751,-0.132 ,,¥19.00,629,-4.523 ,,¥42.58,1076,0.259 ,
2025/6/19 10:00,¥3.33,1349,-0.597 ,,¥7.30,303,1.389 ,,¥7.56,737,0.000 ,,¥20.50,607,3.223 ,,¥42.00,1056,-1.408 ,
2025/6/19 22:00,¥3.50,1247,4.790 ,,¥7.14,342,-1.245 ,,¥7.50,736,0.000 ,,¥20.50,514,0.589 ,,¥42.96,1054,0.000 ,
2025/6/20 10:00,¥3.62,1171,-0.822 ,,¥7.09,337,0.000 ,,¥7.46,739,-0.267 ,,¥21.99,508,-0.045 ,,¥46.00,1017,2.222 ,
2025/6/20 22:00,¥3.76,1151,0.535 ,,¥7.04,358,-0.142 ,,¥7.70,736,1.316 ,,¥21.90,519,0.091 ,,¥46.28,1003,1.048 ,
2025/6/21 10:00,¥3.93,1087,4.800 ,,¥7.00,342,0.143 ,,¥8.01,670,-0.125 ,,¥20.00,509,-6.542 ,,¥48.00,990,0.209 ,
2025/6/21 22:00,¥4.11,1101,2.750 ,,¥6.95,354,-0.430 ,,¥8.98,605,2.045 ,,¥21.60,507,0.465 ,,¥47.00,999,-1.468 ,
2025/6/22 10:00,¥4.47,1060,-0.445 ,,¥6.99,339,1.747 ,,¥8.95,596,-0.112 ,,¥21.90,501,-0.455 ,,¥47.70,996,0.000 ,
2025/6/22 22:00,¥4.18,1128,-5.215 ,,¥6.98,333,0.000 ,,¥8.98,597,-0.111 ,,¥21.80,493,0.000 ,,¥46.90,1008,0.214 ,
2025/6/23 10:00,¥4.00,1174,-2.913 ,,¥6.95,312,1.017 ,,¥8.80,604,0.000 ,,¥22.31,487,1.409 ,,¥46.00,1002,0.000 ,
2025/6/23 22:00,¥4.02,1222,-1.951 ,,¥6.99,273,0.431 ,,¥8.69,606,-0.458 ,,¥21.49,500,-1.422 ,,¥49.90,987,6.442 ,
2025/6/24 10:00,¥4.51,1060,8.675 ,,¥12.50,121,36.911 ,,¥8.98,593,3.100 ,,¥25.00,412,-1.961 ,,¥55.00,873,0.219 ,
2025/6/24 22:00,¥4.25,1053,-5.345 ,,¥9.90,141,-0.802 ,,¥8.95,599,-0.334 ,,¥28.80,354,-3.226 ,,¥66.00,702,-0.452 ,
2025/6/25 10:00,¥4.46,1020,-6.889 ,,¥12.30,146,-0.806 ,,¥12.78,426,11.130 ,,¥29.88,355,-0.033 ,,¥68.50,696,-1.862 ,
2025/6/25 22:00,¥3.49,1042,-22.272 ,,¥9.89,188,-1.100 ,,¥10.45,478,-11.814 ,,¥26.59,402,-2.601 ,,¥65.00,703,3.175 ,
2025/6/26 10:00,¥4.40,1039,-0.227 ,,¥10.30,184,-7.871 ,,¥12.82,449,19.813 ,,¥25.90,392,0.388 ,,¥72.00,665,2.857 ,
2025/6/26 22:00,¥4.20,1073,-3.002 ,,¥9.80,215,-0.910 ,,¥10.60,471,39.657 ,,¥25.50,409,-1.923 ,,¥69.40,703,-0.857 ,
2025/6/27 10:00,¥4.34,1089,-0.686 ,,¥9.63,220,0.417 ,,¥10.49,474,0.962 ,,¥25.59,407,-0.428 ,,¥65.50,715,-2.239 ,
2025/6/27 22:00,¥4.14,1226,-2.588 ,,¥9.00,210,-6.542 ,,¥9.88,496,-0.101 ,,¥24.00,429,-3.148 ,,¥60.00,744,-6.687 ,
2025/6/28 10:00,¥4.01,1211,-0.988 ,,¥9.62,244,1.050 ,,¥9.80,499,0.000 ,,¥23.89,421,-1.647 ,,¥63.00,723,1.613 ,
2025/6/28 22:00,¥3.95,1192,-0.754 ,,¥9.38,289,-1.263 ,,¥9.39,509,-1.054 ,,¥23.36,417,-0.086 ,,¥58.00,741,-3.010 ,
2025/6/29 10:00,¥3.99,1092,-0.993 ,,¥9.16,302,-0.218 ,,¥8.98,510,0.000 ,,¥23.46,407,0.000 ,,¥55.90,716,0.000 ,
2025/6/29 22:00,¥4.07,1098,0.494 ,,¥8.78,292,0.228 ,,¥8.60,523,-3.803 ,,¥23.30,415,1.304 ,,¥56.00,749,-5.085 ,
2025/6/30 10:00,¥4.01,1127,-1.232 ,,¥8.86,281,0.000 ,,¥8.08,534,-2.415 ,,¥23.35,403,0.000 ,,¥55.90,739,0.000 ,
2025/6/30 22:00,¥4.06,1111,1.754 ,,¥8.29,298,-2.356 ,,¥8.08,567,1.000 ,,¥23.80,414,-1.977 ,,¥54.00,768,-1.818 ,
2025/7/1 10:00,¥3.87,1100,-0.514 ,,¥7.96,330,-0.251 ,,¥8.00,554,-0.990 ,,¥23.98,407,0.000 ,,¥55.77,719,3.335 ,
